State,Population,Seats
California,"39,144,818",7001530000000000000X53
Texas,"27,469,114",7001360000000000000X36
Florida,"20,271,272",7001270000000000000X27
New York,"19,795,791",7001270000000000000X27
Illinois,"12,859,995",7001180000000000000X18
Pennsylvania,"12,802,503",7001180000000000000X18
Ohio,"11,613,423",7001160000000000000X16
Georgia,"10,214,860",7001140000000000000X14
North Carolina,"10,042,802",7001130000000000000X13
Michigan,"9,922,576",7001140000000000000X14
New Jersey,"8,958,013",7001120000000000000X12
Virginia,"8,382,993",7001110000000000000X11
Washington,"7,170,351",7001100000000000000X10
Arizona,"6,828,065",7000900000000000000X9
Massachusetts,"6,794,422",7000900000000000000X9
Indiana,"6,619,680",7000900000000000000X9
Tennessee,"6,600,299",7000900000000000000X9
Missouri,"6,083,672",7000800000000000000X8
Maryland,"6,006,401",7000800000000000000X8
Wisconsin,"5,771,337",7000800000000000000X8
Minnesota,"5,489,594",7000800000000000000X8
Colorado,"5,456,574",7000700000000000000X7
South Carolina,"4,896,146",7000700000000000000X7
Alabama,"4,858,979",7000700000000000000X7
Louisiana,"4,670,724",7000600000000000000X6
Kentucky,"4,425,092",7000600000000000000X6
Oregon,"4,028,977",7000500000000000000X5
Oklahoma,"3,911,338",7000500000000000000X5
Connecticut,"3,590,886",7000500000000000000X5
Iowa,"3,123,899",7000400000000000000X4
Utah,"2,995,919",7000400000000000000X4
Mississippi,"2,992,333",7000400000000000000X4
Arkansas,"2,978,204",7000400000000000000X4
Kansas,"2,911,641",7000400000000000000X4
Nevada,"2,890,845",7000400000000000000X4
New Mexico,"2,085,109",7000300000000000000X3
Nebraska,"1,896,190",7000300000000000000X3
West Virginia,"1,844,128",7000300000000000000X3
Idaho,"1,654,930",7000200000000000000X2
Hawaii,"1,431,603",7000200000000000000X2
New Hampshire,"1,330,608",7000200000000000000X2
Maine,"1,329,328",7000200000000000000X2
Rhode Island,"1,056,298",7000200000000000000X2
Montana,"1,032,949",7000100000000000000X1
Delaware,"945,934",7000100000000000000X1
South Dakota,"858,469",7000100000000000000X1
North Dakota,"756,927",7000100000000000000X1
Alaska,"738,432",7000100000000000000X1
Vermont,"626,042",7000100000000000000X1
Wyoming,"586,107",7000100000000000000X1